public_reference,vehicle_make,vehicle_model,imageId,method,Family_Car_Score
202403027156236,Vauxhall,Zafira,2445cf0612a242948c89bf2c9249463f,fuzzy,0.6997753516823334
202409254449102,Peugeot,5008,ffd4ea0014134166939991c6d83b2664,fuzzy,0.6996186998726359
202412207437125,Audi,Q7,638c21d3c8ef4e8b81dc42ed257adc05,fuzzy,0.6958572896404921
202412097136320,Nissan,Qashqai+2,436fbc0267504f1eb3022da3af938750,fuzzy,0.5504258706525094
202408213123987,BMW,2 Series Gran Tourer,8bef6c0fad2c438494d39591b7416348,fuzzy,0.6995208509099587
202412287573757,Land Rover,Discovery Sport,e871bb459a654aa787354ef6681a5889,fuzzy,0.695000003706256
202412217462683,Volkswagen,Tiguan Allspace,96b20690b15a47f6b643d7abe262358e,fuzzy,0.69939094617261
202304206502215,Peugeot,5008,4cdf4194067e431983a2a83175ca6ed5,fuzzy,0.6996186998726359
202312305142273,Nissan,Qashqai+2,00565307194047d1b17f1819b1902557,fuzzy,0.5504258706525094
202412057026625,Peugeot,Traveller,a0a32a54b09945cd9668206b1e736d73,fuzzy,0.6953195500974798
202411015823205,BMW,2 Series Gran Tourer,ac4150ff1a5749148cc600e411b50d86,fuzzy,0.6997753516823334
202412107153256,Chrysler,Grand Voyager,7b1877d01f8142ddb38f9a898ff0568c,fuzzy,0.6967975429193466
202412207455495,Land Rover,Defender 130,de5d8132a6254910809bd08f0a034521,fuzzy,0.6950000002778095
202412177361459,Land Rover,Discovery Sport,e3ab4aece2bb48b88bd64abc3a758ffe,fuzzy,0.695000003706256
202412026936426,BMW,2 Series Gran Tourer,45971458acab49e7ae75b3570efcef24,fuzzy,0.6995208509099587
202410265629951,Peugeot,5008,d1f1892f41c7486680cf994e7e79c8f3,fuzzy,0.6950977246218828
202408233198288,Mercedes-Benz,GLB,b38afde5f724413b91833ede573b7ab2,fuzzy,0.6996913267321843
202411136263174,BMW,2 Series Gran Tourer,f5605f8c2f6c431d9903917e385addc8,fuzzy,0.6995208509099587
202410195372839,Kia,Sorento,6f1d3d3531a44d56b18d6bd6c8df9ff7,fuzzy,0.6998226414162284
202404198833041,Chrysler,Grand Voyager,2c35d7a7ef9f40f0a5f9ff219d52006f,fuzzy,0.6972391648793929
202410135150740,Kia,Carens,a16fd5e1f0534cbf8c171eae24271956,fuzzy,0.6759570009142246
202412097125873,Vauxhall,Combo Life,f4a79250f5b54f378354527312dda02e,fuzzy,0.6997024399406784
202409194207189,Toyota,Verso,4e27582cbf23493f8880077a7cf34e91,fuzzy,0.6997379876069553
202407151800482,Hyundai,Santa Fe,0a2d4968037b4852bf61456a3fca1646,fuzzy,0.6997024399406784
202411226626253,Citroen,Grand C4 Picasso,2d7af347c15041ce971ed99ca2b08803,fuzzy,0.6997468757904945
202412147281847,Citroen,Grand C4 Picasso,73129276881e445f8fe7f4f2ec771b9a,fuzzy,0.6997468757904945
202412147279817,Citroen,Grand C4 Picasso,02f25a2aaa894ee2bd38fa4706efd7de,fuzzy,0.6997468757904945
202410185331111,Hyundai,Santa Fe,7d2104dba6db430aadb5b1a3349641b9,fuzzy,0.69365331069874
202411276799340,Vauxhall,Zafira,eced04602e1445c4ae587d1ea43f08f9,fuzzy,0.6997753516823334
202403298110635,BMW,2 Series Gran Tourer,ae04aa493ddc4d68a3be0c7166386bed,fuzzy,0.6995208509099587
202405209906546,SsangYong,Turismo,4b3fc0c5f0224e3aac54b49df2483055,fuzzy,0.695005724887212
202411216582389,Nissan,Qashqai+2,8e4cc6bd441148ffbc9bdde3b5cecaac,fuzzy,0.5504258706525094
202410235527899,Mercedes-Benz,EQB,2b9e1db04d23479abdb3ddb21d1bb81e,fuzzy,0.679469762236475
202412077093401,Vauxhall,Zafira,b9ffa86029f64507b01520c010fec80b,fuzzy,0.6997753516823334
202412057027660,Mercedes-Benz,V Class,98dab7e910e04cf99fba8602d3a03492,fuzzy,0.6950000002886577
202412117190813,BMW,2 Series Gran Tourer,d1a015fb0363439da13e8b5a1a005cf4,fuzzy,0.6995208509099587
202412036970581,Kia,Carens,0059682c43e74a9b8eae2e713328e827,fuzzy,0.6759570009142246
202411216582438,Ford,Grand C-Max,e9e7ae2dc9ce4e77be6cac4fc0ba6f4c,fuzzy,0.6442587715379883
202412036963834,Volkswagen,Touran,6a6e483139d9428186e8477d11b51e79,fuzzy,0.6994603814343034
202411206505560,Citroen,SpaceTourer,d1f11fbb284c4ac9879322ac799b86b1,fuzzy,0.6953195500974798
202412097122788,Land Rover,Discovery Sport,f7782f2682f34d37b311c45d13f0de06,fuzzy,0.695000003706256
202412137256668,Volkswagen,Touran,8f219e4820884bc0895361841593cbf2,fuzzy,0.6994603814343034
202411256711661,Peugeot,5008,c8ce28593ba241da88c654d63547f04f,fuzzy,0.6919944662501842
202412137263393,Hyundai,Santa Fe,880b9133838d4215bf9f94c4c2003ed1,fuzzy,0.6950000026966174
202412127227523,Kia,Sorento,a8c3e3af1c224278a2c180914686dfbf,fuzzy,0.6998196480259519
202412167317835,Mercedes-Benz,V Class,ac09668178314d108890e2dbb45a4be2,fuzzy,0.6950000002886577
202411286800090,Toyota,Land Cruiser,8264ee6b191340ea853c5d737aefa7da,fuzzy,0.6998157355565536
202412177350362,Peugeot,5008,eb6bde052679406aafb7da1718c967b1,fuzzy,0.6950000340095097
202411146302392,Volkswagen,Tiguan Allspace,c519b1a9717a40559f3c1f8bbc24d111,fuzzy,0.69939094617261
202412137242591,Volkswagen,Multivan,82e411fedaca405f9b76ed4eb478aba6,fuzzy,0.6271334333037243
202410074916058,SEAT,Tarraco,749023c1db044bea94d600e0a48b97bf,fuzzy,0.69939094617261
202411015851848,BMW,2 Series Gran Tourer,5a48ee8f2c09472497ed39c3d5c90718,fuzzy,0.6995208509099587
202407071525078,Vauxhall,Combo Life,9249ce00f0a049558e02a4be39523448,fuzzy,0.6997024399406784
202412167326576,Audi,Q7,5e3980a99ac94542beea823092ec5f3e,fuzzy,0.6950102734534298
202411015846134,Peugeot,5008,83db61fb565845eeb11ef3a08e0cf3e7,fuzzy,0.6950000340095097
202410305756097,Peugeot,5008,6d52c343f7e443ea90ae6ee751908bc9,fuzzy,0.6950000340095097
202410235500936,Audi,SQ7,bb2b7323e686482285bab63aa529bf1a,fuzzy,0.6993085458341207
202412177345495,Mercedes-Benz,GLE,b149673a766a47efa6dc5e5f73b1b10a,fuzzy,0.699804982289614
202411055958366,Vauxhall,Combo Life,b6c51cd687dd4d01b30b6830dc7cfb9f,fuzzy,0.6952215121620587
202412207456219,Citroen,Grand C4 Picasso,ea70e46651d2437e859a978f9b5924ad,fuzzy,0.6997468757904945
202412097129289,Land Rover,Discovery Sport,5f08f1eb93334afe88ec77d9a590ae5d,fuzzy,0.6950408523924995
202408162941823,Hyundai,Santa Fe,9f44a7c18b5e4bcf867fb1a7e0840d15,fuzzy,0.695000009453016
202410155235103,Kia,Sorento,366c0d27fbb64e7b86eb10cf92bf2879,fuzzy,0.699822573701145
202411055969240,Mercedes-Benz,GLE,5ff5a75c77a540c7be03634979762fcd,fuzzy,0.699804982289614
202412097121227,Mercedes-Benz,GLB,824477bff1f246e3812a1e899857b7c1,fuzzy,0.6996913267321843
202411066005731,Volkswagen,Touran,fa53ce1127774684a8162ae21dd52986,fuzzy,0.695055921229901
202410014712937,Peugeot,5008,ebb249aa62ad4578aa99b469dd81b799,fuzzy,0.6950000340095097
202412187395063,Volkswagen,Touran,175dcdab43a44c49ba737a1aa66ebaec,fuzzy,0.6994603814343034
202405280143959,Hyundai,Santa Fe,5814c8943baf457c96e1a313efcc528c,fuzzy,0.6997024399406784
202412057042920,BMW,X7,85908e7c335a4a728f9644e239cdbcab,fuzzy,0.6972391648793929
202412046986199,Volkswagen,Touran,f5eca9a4c8f5460b87ab9edfc1c2b806,fuzzy,0.6998003036923308
202411126204414,Mercedes-Benz,GLE,a80efce5c3fc4641adda3c2dafc12282,fuzzy,0.699804982289614
202410074913213,Peugeot,5008,0b40ac5e555d4fd890887c3e4194b1f7,fuzzy,0.6950000340095097
202404178770207,Kia,Sorento,5e961460b7184cd0a697826875bf2c33,fuzzy,0.699822573701145
202411025871484,Citroen,Grand C4 Picasso,5b7c274eb35a4b5ba4cf16ac6afe868a,fuzzy,0.6997468757904945
202412077087223,Hyundai,Santa Fe,def883736f264947b31975e6361059d7,fuzzy,0.695000009453016
202410024740136,Peugeot,5008,b57d5189298d4918a74ee0c3d1a6724f,fuzzy,0.6950000340095097
202411276787327,Audi,Q7,1ae42a7a593b4886aac8158216b14a60,fuzzy,0.6950102734534298
202412167332153,Hyundai,Santa Fe,d935362ab03344c4bf8b3ad0670ee62d,fuzzy,0.6950000026966174
202410215446854,Nissan,Qashqai+2,84a75c397b16413e904786da78cbe08d,fuzzy,0.5504258706525094
202412187384410,Audi,SQ7,596bd9c9e5d94eb98431aa581c2813de,fuzzy,0.6993085458341207
202409053691696,Audi,Q7,ac5ec3fe4ff54553961dcd85d16dec08,fuzzy,0.6962765588645331
202412107163471,BMW,2 Series Gran Tourer,37c2150a7a044c739c58b939118fff10,fuzzy,0.6995208509099587
202410105050645,Kia,Sedona,b348865b3311489aabd4fdad0455bca0,fuzzy,0.6950000145483543
202412197424909,Chevrolet,Captiva,5cdd59e910f54e3ab875d9a8c996b1be,fuzzy,0.6136994951340425
202412197417540,Nissan,Qashqai+2,4076c4729d28413c85a97d12fd317700,fuzzy,0.5504258706525094
202412197414449,Peugeot,5008,b9c3130f621c4c199c8b3ade413e6fa5,fuzzy,0.6950000340095097
202412287575495,Kia,Carens,6462a4bcd09d4c09bc8ed052bf88d10d,fuzzy,0.6759570009142246
202412067077229,Volkswagen,Touran,5b54bf19b79a49abb2db9ade1b3c3dee,fuzzy,0.6994603814343034
202410215438431,Hyundai,Santa Fe,94287d1d74d84734a2f99ffc34125494,fuzzy,0.6950000026966174
202410215417822,Peugeot,5008,45730c9ee0e84fbbb59d7ad47a56a3fa,fuzzy,0.6950000340095097
202408032500030,Audi,SQ7,ec96822a8e6842549676d6f66b2ebb34,fuzzy,0.695399361474824
202410105047273,Mercedes-Benz,EQB,64ad53259e8543a196be3d909bb9b1b1,fuzzy,0.679469762236475
202412057041745,Kia,Carens,53d50cc6b82f4ed49c27ad378ef63fd0,fuzzy,0.6759570009142246
