public_reference,vehicle_make,vehicle_model,imageId,method,Sport_Car_Score,Taxonomy_body_type
202411216580187,Ferrari,512,17e80eae1bc742109f110d9e45649bdc,fuzzy,0.7209059424748898,Coupe
202403197739925,Porsche,911,6027d047df3e445aaa2f96f616d0599c,fuzzy,0.7648111824748285,Convertible
202310223234519,Jaguar,F-Type,d22c2bcfd717457d9cddfdc1919b7aa8,fuzzy,0.5683385464237172,Coupe
202409244377446,Porsche,911,ddc5db2d6b3e4f8cb49d8959cdf843d2,fuzzy,0.7175270558686974,Convertible
202409023543234,Porsche,911,5a0370b39d23453c8d007f8abb0e65ed,fuzzy,0.502085289600338,Convertible
202412117181870,Porsche,911,6f35bd5a17c64a06a77463f44a79c72b,fuzzy,0.6948987225829794,Convertible
202205266182683,Aston Martin,Vantage,9894e4515e9e450a90577763caf40a8f,fuzzy,0.755739016824725,Coupe
202411086077226,Aston Martin,Vantage,d3904b0e11e441dc879d29b6313fc150,fuzzy,0.745294213619119,Convertible
202409184195199,Porsche,911,caf4fc22a2884ba2ba65cc494bc9f0cd,fuzzy,0.7095620224479493,Convertible
202410165249195,Maserati,Gransport,97cb016cae39405ead06d94beb1438fe,fuzzy,0.6802068876132635,Coupe
202410215431753,Aston Martin,DB9,a7c46e661cdf4e3d8465cb80165d8710,fuzzy,0.6830765182697065,Convertible
202410295718633,Lotus,Exige,6d22b2b7dacb4198834e1eb4875186d8,fuzzy,0.7568092073614675,Coupe
202411276773532,Alpine,A110,d0104f111d3e4513bc89cb5af4c6e3d6,fuzzy,0.6847903364064235,Coupe
202406060479587,Aston Martin,Vantage,cea49ae747404f5c87ef0fa1c98640c8,fuzzy,0.724174511129763,Convertible
202409204274418,Audi,R8,0cde247d29204b5e9840dbea4ae1711f,fuzzy,0.7605311976742124,Coupe
202410115079243,BMW,Z4,63b276e6624d4283925a84551ac927cc,fuzzy,0.5791299297183092,Convertible
202410125114189,Aston Martin,DBS,d1813501d174429ebb3ca9aa99ac8351,fuzzy,0.5451356066499154,Coupe
202408223152602,Porsche,911,c9b4e27d7de54dda82385c1130d420d9,fuzzy,0.7109937427511274,Coupe
202501067768958,McLaren,650S,1159372f34884840a86f873e03433304,fuzzy,0.7268291916783679,Coupe
202412097126088,Porsche,911,f5a276ce5b0e46c19e1a77013215c3b5,fuzzy,0.7618621154279757,Coupe
202411096122507,Jaguar,F-Type,d609f9b627a24adfb30039dd77d46915,fuzzy,0.6513697900983818,Convertible
202410034785127,Porsche,718 Cayman,ce3ed087f84c4059a5e4edadc32467f1,fuzzy,0.7658396402228144,Coupe
202412167318633,Audi,R8,8e0cafa81dbd40ad9a9db497f0242ee9,fuzzy,0.7587322233517796,Convertible
202412057042081,Porsche,718 Boxster,fc33ad761cbf4f7b9e5ea6f4a0011342,fuzzy,0.7186527180074509,Convertible
202411226621129,Mercedes-Benz,SL,aadaffaf13b34e46a2bcb1a18052ec9f,fuzzy,0.6257074644872241,Convertible
202412036963278,Jaguar,F-Type,8223d149629a424bb8cd0d1231714de1,fuzzy,0.5683385464237172,Coupe
202410145165648,Porsche,911,8fb4562e923a46f68135c50066331bd3,fuzzy,0.7687487820521879,Coupe
202410175298759,Porsche,911,62dde2f9b35c43779e85fbea315baa00,fuzzy,0.7499333713012694,Coupe
202410315809782,Mercedes-Benz,AMG GT,03216f07ac4b4665af0d3181511b6890,fuzzy,0.7689623839381857,Convertible
202410095010536,Ferrari,California,6b3c5d0e9da647999c147664367b807a,fuzzy,0.7085376672288642,Convertible
202408253264449,Porsche,911,f5a6d4b960ad4a869f4be39698ef453b,fuzzy,0.5842854645667431,Convertible
