vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
MG,MGS5,cae446d7920c4472aa8cb1887475e26a,c6492a77425448708b647ee7db6e0317
MINI,Aceman,98c3abf16255475d9c8ca4a628de0df8,a4e730966f8d48b9aa6d3d36f2ed8572
MINI,Clubman,b673b43be9084cbb9377ae8031809e11,0e1e71e53f4b48268ab8ecd69334f1ac
MINI,Clubvan,9b52215be0bf4ff18c58c00c0bcd4a8a,af966e89054e4413ae1905d55d43a704
MINI,Cooper,cb2300f982194cbabccfae0618b0ac92,4eb85840b2384ae9a1c0870b06253aa9
MINI,Countryman,4d3f5265284f44198a0ff4f3d0e139cf,764f11a92405420d898ffe53fe467f7b
MINI,Paceman,b05e8497538041358236727619d8c194,6e6bcf5b30314e9c8af1d88d94b7f616
Mazda,CX-3,c99fffc640054eb18e0572fb7035f481,533e15a82f7c4b3dbd13c34f5c2ae4d7
Mazda,CX-30,4e2840c3dc994c4089adb93faf4551af,7c4c4936c0684ab3b095103a3d787052
Mazda,MX-30,defedd7dba8d46e3b8af6c08718cbc47,2768fcb51da34a36aff919dac4c0b4a0
Mazda,Mazda3,8759e387a7904565a152e5e7284c1cd8,94f5418216b34e09ba649c126da5ca0f
Mercedes-Benz,A Class,8344988826d544ab9a6ed1f0bcb5d172,3a90db15be9d48f780154244c583d3ce
Mercedes-Benz,B Class,ff48fd025dd24dd8bf4a141493fb7abc,de81039e19584be79f50c6b64840911d
Mercedes-Benz,CLA,94ac9b1f7be544eea1832499d523f3a9,505693f21794456d908479ce82f3ca84
Mercedes-Benz,CLC Class,9cc96a216d7f445eab06a8c1d2be572e,1a3cf24b05b44e3ea3fd1d3b50c73ec1
Mercedes-Benz,GLA,fb38a1d63f8a4c06a4d51f03abb3bcfd,d30b45a0f1c44adf975bd87336f65205
Mitsubishi,ASX,18d49e82ec6b47f1b475f2c554ef90bc,15416990c43d48a9b67d4c8574f8fc32
Mitsubishi,Lancer,eb9fd2a1b1d1edd4b59618f792b930ff,68520461055541e8b6ae3dc22c05aae4
Nissan,Juke,7fd82783d7314e978d010ab2b849ff66,04ed9823ad9343b281efc4100266790c
Nissan,Leaf,6aa50844757e409586ba601527b66ee0,5015fe12811545148d1a3458e2c0f218
Nissan,Note,0f2537e2f10d4d208db4f3b000d00b74,79b12337d9754755a5e2acdbbf544b42
Nissan,Pulsar,c5127c3df3c84b3a93f3dd340d74b508,b253989359cf42eebba8bd80d7899f4d
Nissan,Qashqai,e00fdbadb24e4372ac8dd96234b83276,131ac9364824483d897cac5949473d25
Omoda,OMODA 5,ad9a5390b8a9480ab5ab6fa1182597f6,31f1b3d83f2f44e392ed786385eb2733
Omoda,OMODA E5,01302d7cb9dc4eec9e0d3faaf3d0a4f9,1b78c88e1eb7432584564280ae6ca6e1
Peugeot,1007,007c24f104816482df3a05b9decdb277,babd3afe91a14408ba95aeba5d1dbd42
Peugeot,2008,14aea1a45dbf42a8a7fb2a19bb40556e,d26b0e02951b46e9b34138d64694e6de
Peugeot,207,429a82aa182c2a87ac1a8333427e186d,60f58c984c064a209ebc040e13786e0e
Peugeot,207 SW,09e6d06d8dd5344501bbe196e9f51fe9,40783a5ae764499da4e6be421273992d
