vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Fiat,Multipla,48da6b9efce3c5e299879a4c92784198,018b74f4a1644265a0dcb6ae2fc56689
Fiat,Tipo,e7afaaa081534612b11357d19cf77599,e5f1eb4f595a4b70a14fe9dd615ef3a4
Fisker,Ocean,881908aa890344709186b417007d9cdf,fd4333ea48e24211a20d0c4bbe78ac9c
Ford,C-Max,b8b54f43501e4d4c8d9983cf832c3d30,fb34c755fa1a499c9eb1d7c9a0f6e59e
Ford,Edge,ae474af108124463af86f02457185d04,dafa4ed7d422486a9adb5db19fa2d42c
Ford,Focus,30f6db4b9989424894f29892ac69fb9c,32075f6a954c49aa9828a8664a988c2a
Ford,Galaxy,33e24121d9d19a0d56f51e6ec54667eb,d5b266c5feba49c995ab29b060e219b2
Ford,Grand C-Max,8ad83e5e3f40485b8a06defd4f2dc472,bd18ef896c714c82a6352508d8ed0ef5
Ford,Grand Tourneo Connect,280145575984489c8f4e96fd24109a3d,453f3e49404947feb1da13037e8c2044
Ford,Kuga,83a699c0a26b4bfcb42192e1842ecef7,08cbfda8be7a4a3c8b4a069cf5458460
Ford,Mondeo,bf0b5e6bc4649ae73969de5355676c12,ce14f514e2d64b569a7e8bacea41cbfb
Ford,Mustang Mach-E,c883144e05c34691aa240522faa306c7,f89da2a619ed4a8cb0e06d519eae15f7
Ford,S-Max,3eef741820e847ecb2f2358c757f5322,9dca0ba118234312bfe57dafde09e3e8
Ford,Tourneo Connect,87d555536d3e4e2180edf74433fe14ab,87250d7f9bf942c6842732e85531ffe3
Ford,Tourneo Courier,645fb7907b194ba19044504d3cbd2762,55e5d166bc474d65afdc23e28e747e7f
Geely,Geely EX5,cba9b8559c92490d9da7a2f98b23c06a,f59ba9fc22da4247901ab8939a35d085
Genesis,G70,8827248cfb784d73bc0fc18c99332c5f,cb5f8760bfe94256b731fdde819bb7ca
Genesis,G80,b0ed85a6e31a4c39863c6ec4d34c814b,3cb36c206c184bc8a0a170d7ffde327d
Genesis,GV60,a6679762681d463c91a64c9a67631d39,130a5c8a47c44c16bf4fce39a5dccc6d
Genesis,GV70,e22174f5c1db4522b6ec9d178e8adff9,667cede5f98443639f2e6cb0030ce17f
Genesis,GV80,81db26b2469e4721926d1aab735228a2,367823bee1ad42d18e005fd28f0e5c21
Honda,Accord,761dad574e4942c9becda0ab89e011ae,bfdd89190a2d4328ac0bde2c309b3e43
Honda,CR-V,0fe1c813d6434299aba501bbc63c1b9c,3003698f644b41578ff355619191983a
Honda,FR-V,e58bd4a458162f63ccdcabecdba2b246,15f09c200c5f40e597ea63e2bcf8e7c7
Honda,HR-V,dc0759d8ba3143138a16aded9467861b,3275320cab564e7aa964e831a8b4e1b5
Honda,Legend,72e65595263ba8a22f938b34aed1d770,a66c035ce52844c4b5395479ad9d1c77
Honda,ZR-V,d8c51bc611a246de8bb1d1892306afeb,6abb351cf0594c6da3b33613c4ff627e
Hyundai,Grandeur,95763c2b16c849c9805dec25548c8324,d5542af0f42941b58de9d458fbbf7b08
Hyundai,IONIQ,f28989fc70ac4c79b0b20f63f5e9e6a7,29824706e02a4c36b21d6a8913177b5c
Hyundai,IONIQ 5,9b4ec0ce75c640148fb2a0406ca9abff,8242be9623094449adb0e17c2e89d011
